1	3762.926510
2	3935.421390
3	4077.069580
4	4188.458010
5	4272.699710
6	4334.076660
7	4377.138180
8	4406.112300
9	4424.599610
10	4435.526370
11	4441.213870
12	4443.453610
13	4443.521480
14	4442.179690
15	4439.743650
16	4436.184080
17	4431.171880
18	4424.187500
19	4414.664060
20	4401.988280
21	4385.483890
22	4364.419920
23	4338.020510
24	4305.508790
25	4266.179690
26	4219.426760
27	4164.770510
28	4101.922360
29	4030.856930
30	3951.863530
31	3865.519530
32	3772.580570
33	3673.931150
34	3570.642820
35	3464.042970
36	3355.727290
37	3247.439450
38	3140.814210
39	3037.197020
40	2937.523440
41	2842.142820
42	2750.770020
43	2662.746830
44	2577.397460
45	2494.227540
46	2412.958010
47	2333.478520
48	2255.859380
49	2180.408450
50	2107.653080
51	2038.277710
52	1973.068240
53	1912.779540
54	1858.046260
55	1809.530270
56	1768.138310
57	1734.961430
58	1710.993900
59	1696.890500
60	1692.841190
61	1698.512330
62	1713.045780
63	1735.099850
64	1762.959960
65	1794.693360
66	1469.346190
