1	4190.102050
2	4314.922850
3	4409.998540
4	4479.404300
5	4527.866700
6	4559.983400
7	4579.808590
8	4590.738280
9	4595.512700
10	4596.186520
11	4594.028810
12	4589.542970
13	4582.682620
14	4573.156740
15	4560.694820
16	4545.144530
17	4526.311520
18	4503.766110
19	4476.916020
20	4445.195800
21	4408.015140
22	4364.582030
23	4313.937990
24	4255.148930
25	4187.377930
26	4109.858890
27	4021.941410
28	3923.220210
29	3813.636230
30	3693.544920
31	3563.794430
32	3425.760990
33	3281.331790
34	3132.834720
35	2982.808110
36	2833.679440
37	2687.502690
38	2545.837160
39	2409.718750
40	2279.604250
41	2155.328120
42	2036.271480
43	1921.739140
44	1811.237550
45	1704.533810
46	1601.640010
47	1502.830570
48	1408.629640
49	1319.697750
50	1236.678220
51	1160.114870
52	1090.434570
53	1027.936770
54	972.813420
55	925.195920
56	885.131590
57	852.464050
58	826.757260
59	807.382630
60	793.670780
61	784.988590
62	780.752320
63	780.437320
64	783.609070
65	789.952090
66	1828.295290
67	1489.860720
